På gården|Pihalla
på|prepositio: päällä, -lla, -llä
stå, står|seisoa
ute|ulkona
vänta på, väntar på|odottaa jotakin, jotakuta
komma, kommer|tulla; olla kotoisin
ut|ulos
vem|kuka
du|sinä
min kompis|minun kaverini
jaha|vai niin
mena, menar|tarkoittaa
ja|kyllä
just det|juuri niin, nimenomaan
Vad kul!|Miten hauskaa!
Robbans|Robbanin
kusin|serkku
Du kommer inte från Finland.|Sinä et ole kotoisin Suomesta.
från|prepositio: jostakin, -sta, -stä
nej|ei
var|missä
i|prepositio: jossakin, -ssa, -ssä
på Sjämansvägen|Merimehentiellä
här|täällä
Talar du finska?|Puhutko suomea?
tala, talar|puhua
svenska|ruotsi, ruotsin kieli
lite|vähän
engelska|englanti, englannin kieli
förstås|tietysti
inte|ei
Vem är du?|Kuka sinä olet?
Varifrån|Mistä sinä olet kotoisin?
Var bor du?|Missä sinä asut?
Vilka språk talar du?|Mitä kieliä sinä puhut?
en stad, staden|kaupunki
ligga, ligger|sijaita
Österbotten|Pohjanmaa
över|yli
ett hav, havet|meri
cirka, ca|noin
en invånare, invånaren|asukas
nästan|melkein
ha, har|olla, omistaa
som modersmål|äidinkielenä
fin|hieno
som är värd ett besök|joka on vierailun arvoinen
arktiskt|arktinen
det enda|ainoa
betyda, betyder|tarkoittaa
en isbjörn, isbjörnen|jääkarhu
