Vid frukostbordet|Aamiaispöydässä
det är|on
lördagsmorgon|lauantaiaamu
bara|vain
sista dag|viimeinen päivä
redan|jo
ett kök, -et|keittiö
när|kun
vakna, vaknar|herätä
sova, sover|nukkua
ännu|vielä
God morgon!|Hyvää huomenta!
Vad vill du ha till frukost|Mitä haluat aamiaiseksi?
dricka, dricker|juoda
kaffe, kaffet|kahvi
nej tack|ei kiitos
tycka om, tycker om|tykätä jostain
en kopp, koppen|kuppi
te, teet|tee
i stället|sen sijaan
en smörgås, smörgåsen|voileipä
en yoghurt, yoghurten|jogurtti
mysli, myslin|mysli
så|niin
hungrig|nälkäinen
gärna|mielellään
en frukt, -en|hedelmä
en apelsin, -en|appelsiini
kanske|ehkä
allergisk mot apelsiner|allerginen appelsiineille
ett äpple, -t|omena
en banan, -en|banaani
äta, äter|syödä
gröt, -en|puuro
hellre|mieluummin
flingor|murot, hiutaleet
socker, sockret|sokeri
mjölk, mjölken|maito
javisst|tietysti, toki
lilla gumman|pikkuiseni
törstig|janoinen
juice, -n|tuoremehu
varm choklad|kuuma kaakao
Vad vill du äta?|Mitä haluat syödä?
Vad äter du?|Mitä syöt?
Vad vill du dricka?|Mitä haluat juoda?
Vad dricker du?|Mitä juot?
kaffe|kahvi
choklad|kaakao, suklaa
saft|mehu
vatten|vesi
bröd|leipä
en smörgås, en macka|voileipä
smör|voi
margarin|margariini
ost|juusto
skinka|kinkku
korv|makkara
ett ägg|kananmuna
fil|viili
sylt|hillo
grädde|kerma
ett päron|päärynä
en grapefrukt|greippi
en kiwi|kiwi
en persika|persikka
en mandarin|mandariini
en vattenmelon|vesimeloni
en tomat|tomaatti
en gurka|kurkku
en grönsallad|salaatti
en paprika|paprika
en kopp|kuppi
en mugg|muki
ett glas|lasi
en sked|lusikka
en gaffel|haarukka
en kniv|veitsi
en tallrik|lautanen
en skål|kulho
en bål, bålen|booli
en fest, -en|juhla
behöva, behöver|tarvita
koncentrerad|tiivistetty
svartvinbärsaft, -en|mustaviinimarjamehu
skalade|kuorittuja
Blanda!|Sekoita!
en skål, -en|kulho
Ta bort!|Poista!
kärnorna|siemenet
Skiva!|Viipaloi!
Lägg!|Laita!
isbitar|jääpalat
godare|parempi
fräschare|raikkaampi
